esperanto,english,cefr_level
Ŝi havas nur malmultajn amikojn.,She only has a few friends .,A2
Ĝi estas tiel varmega kiel la dezerto .,It is as hot as the desert .,A2
"Se ĝi estis lia, kien ĝi iris?","If it was his , where did it go ?",A2
Tiu infano havas hundidon.,That child has a puppy .,A2
Tiu knabo ŝajnas interesita pri vi.,That boy seems interested in you .,A2
"Estus pli bone, se mi irus .",It would be better if I went .,A2
Multaj urboj havas metroojn.,Many cities have metros .,A2
La manĝaĵo estis venigita sur belajn telerojn.,The food was brought on beautiful plates .,A2
Ili iris skii lastan vintron.,They went skiing last winter .,A2
Ni atendu antaŭ la vendejo.,Let 's wait in front of the store .,A2
Panjo ŝatis miksi kremon kun ĉio.,Mother loved mixing cream with everything .,A2
Multaj infanoj plukis la frukton.,Many children picked the fruit .,A2
"Se ni sciintus, ni estus venintaj.","If we had known , we 'd have come .",A2
"Se mi scius, ke tio estus tia, mi ne venus!","If I had known it would be like this , I would n't have come !",A2
La rakonto estis kovrita de multaj ĵurnalistoj.,The story was covered by many reporters .,A2
Mi provis purigi ĝin.,I tried to clean up .,A2
Kiom da ranoj estas en via akvario?,How many frogs are in your aquarium ?,A2
"Mi deziras, ke ĉesu pluvi.",I wish it would stop raining .,A2
"Se ŝi scius tion, ŝi estus restinta .","If she had known , she 'd have stayed .",A2
"Por perdi pezon, li manĝis legomojn.","In order to lose weight , he ate vegetables .",A2
"Por ŝpari tempon, li forveturis .","In order to save time , he drove .",A2
"Mi diris, ke mi iros hejmen.",I said I was going home .,A2
Ŝi esperis trovi bonan laboron en la foiro.,She hoped to find a good job at the job fair .,A2
Filmoj produktataj en Hollywood estas popularaj.,Movies produced in Hollywood are popular .,A2
"Ŝi diris, ke ŝi havas ion por diri al vi, sed ŝi ne diris, kio ĝi estas .",She said she had something to tell you but she did n't say what it was .,A2
Li parolis kun ni ambaŭ.,He spoke to both of us .,A2
"Li diris al ni, kion li vidis.",He told us what he had seen .,A2
Tiu areo estas konata pro ties persikoj.,This area is known for its peaches .,A2
La manĝaĵo kutime estas bona tie.,The food is usually good there .,A2
Ili planis iri al Kanado .,They planned to go to Canada .,A2
Ili ofte ŝatis fari aferojn kune.,They often liked doing things together .,A2
Mi volus esti baptopatrino.,I 'd like to be a godmother .,A2
"Se mi trovintus ĝin , vi scius ĝin.","If I had found it , you 'd know .",A2
Ĉu vi iam antaŭe vidis tian temon?,Have you ever seen this kind of issue before ?,A2
Ĉu vi iam vidis ion tian antaŭe?,Have you ever seen anything like this before ?,A2
Kie vi aĉetis tiun belan piĵamon?,Where did you buy that beautiful pair of pajamas ?,A2
Jane havis belan jakon.,Jane had a nice jacket collection .,A2
Mia dento estas tro larĝa.,My tooth is loose .,A2
Mi devas vidi mian dentiston pro tiu dentodoloro.,I need to see my dentist for this toothache .,A2
Ŝi komencis paŝi pli kaj pli malrapide.,She began to walk more and more slowly .,A2
"Mia hundo mortis, kiam mi estis kvinjara.",My dog died when I was five .,A2
Ĉu vi iam estis en limo?,Have you ever been in a limo ?,A2
Mi pruntedonis al ŝi mian mantelon.,I lent her my coat .,A2
Ŝi ŝminkis sin ĉiutage.,She put makeup on every day .,A2
Ŝi manĝis spagetojn ĉiusemajne.,She ate spaghetti every week .,A2
La arboj plantis la lastan jaron aspektas grandiozaj.,The trees planted last year look great .,A2
"Baldaŭ estos Aprilo, do mi fine vidos belajn ĉerizarbojn florantaj.","It will be April soon , so I will finally get to see beautiful cherry blossom trees .",A2
"Niaj infanoj malfacile decidas, kion porti al la lernejo.",Our kids have trouble deciding what to wear to school .,A2
Ĉu vi vidis miajn sportŝuojn?,Have you seen my sneakers ?,A2
Mia avino ĉiam estis mirinda rakontante al la enlitiĝoj.,My grandmother was always wonderful at telling bedtime stories .,A2
Li kaŭzis problemon.,He caused a problem .,A2
Ŝia hararo estis mola kiel silko.,Her hair was as soft as silk .,A2
La usonanoj batalis en la vjetnama milito.,The Americans fought in the Vietnamese War .,A2
Ni montras infanojn kiel esti kreemaj.,We show children how to be creative .,A2
Bebon oni nomas ŝafido.,A baby sheep is called a lamb .,A2
Estus pli malvarme posttagmeze.,It should get cooler in the afternoon .,A2
"Ĝi estas en la montaro, kie vi vidas belajn arbojn.",It is in the mountains where you see beautiful trees .,A2
Nenio en tiu dinosaŭro estas reala .,Nothing in this dinosaur museum is real .,A2
Ili eble jam estas en la restoracio.,They may be at the restaurant already .,A2
Ŝi malfrue iris hejmen.,She went home late .,A2
"Ne aŭskultu vian pli aĝan fratinon, ĉar ŝi ne ĉiam pravas.",Do not listen to your older sister because she is not always right .,A2
La rakonto alportis al ni esperon.,The story brought us hope .,A2
"Ĉar liaj fingroj estis rompitaj, li ne plu povis ludi pianon.","Because his fingers were broken , he could no longer play the piano .",A2
La stabo ankoraŭ ne malfermis la oficejon.,The staff have n't opened the office yet .,A2
Balenoj ĝenerale estas pacemaj bestoj.,Whales are generally peaceful animals .,A2
"Ŝi estis tiel bela, kiel ili diris.",She was as beautiful as they said .,A2
Kiu estas la aŭtoro de tiu libro?,Who is the author of that book ?,A2
Tokio preparas por la 2020 olimpioj.,Tokyo is preparing for the 2020 Olympics .,A2
Estis tiam ke mi vidis ŝin .,It was then that I saw her .,A2
"Estis somero, kiam mi revidis ŝin.",It was summer when I saw her again .,A2
Mi ĵus finis mian hejmtaskon.,I have just finished my homework .,A2
Li ne rajtis al li trinki alkoholon.,He was n't allowed to have any alcohol .,A2
"Li estas viro, kies kariero estas longa kaj sukcesa.",He is a man whose career has been long and successful .,A2
"Mi ŝatus, ke vi preparu la tablon por vespermanĝo.",I 'd like you to set the table for dinner .,A2
Ĉu ni komencu la konferencon nun?,Shall we start the conference now ?,A2
Ŝi laboras en Wall Street.,She works on Wall Street .,A2
Ĉu vi planas vojaĝi al Eŭropo ĉi-jare?,Do you have plans to travel to Europe this year ?,A2
Mi esperas iam iri al Francio.,I hope to go to France one day .,A2
Ĉu vi jam vidis ĝin?,Have you seen it already ?,A2
Ŝiaj okuloj estis same afablaj kiel ĉiam.,Her eyes were as kind as ever .,A2
Mi instruas ĉi tie dum multaj jaroj.,I have been teaching here for many years .,A2
Mi deziras esti riĉa.,I wish I was rich .,A2
Mi ne scias kion fari pri tiuj bruaj najbaroj.,I do n't know what to do about those noisy neighbors .,A2
Ĉu la filmo ĵus komenciĝis?,Has the movie just started ?,A2
Li havis tre potencajn krurojn.,He had very powerful legs .,A2
Lisa ne ĉiam volas pasigi tempon kun sia koramiko.,Lisa does not always want to spend time with her boyfriend .,A2
"La virinoj, kiuj vizitas hodiaŭ, estas miaj amikoj.",The women coming over today are my friends .,A2
Ni ŝatas inviti niajn amikojn en la fino de .,We love to invite our friends over .,A2
"Li mortis farante tion, je kio li kredis.",He died doing what he believed in .,A2
Oni trovis ĝin hieraŭ.,It was found yesterday .,A2
Oni trovis ĝin en la trajno .,It was found on the train .,A2
"Ŝi diris, ke mi povas pruntepreni ŝin.",She said I could borrow hers .,A2
"Mi forgesis miajn pantoflojn, sed ŝi lasis min pruntepreni ŝin.",I forgot my slippers but she let me borrow hers .,A2
"Mi deziras, ke ŝi povu esti tie.",I wish she could be there .,A2
Ni aŭdis ranojn proksime de la lago.,We heard frogs near the lake .,A2
Ĉu ni prenu Jessicason al la malsanulejo?,Shall we take Jessica to the hospital ?,A2
Ŝi devis rekomenci per .,She had to start over .,A2
"""Ni manĝu fiŝon laŭeble plej ofte.""",Let 's eat fish as many times as possible .,A2
Li amas siajn sportŝuojn pli ol siajn regulajn ŝuojn.,He loves his sneakers more than his regular shoes .,A2
Kial vi ĉiam surhavas sportŝuojn?,Why do you always wear sneakers ?,A2
"Obama estas persono, kies potenco estas respektata .",Obama is a person whose power is respected .,A2
"Mi ne scias, kien mi metis mian domon pasintnokte.",I do n't know where I put my house keys last night .,A2
Mi trovis liajn ŝlosilojn ĉe la pordo.,I found his keys by the door .,A2
Kiam tio estis konstruita?,When was this built ?,A2
Kiujn kanadajn urbojn vi vizitis?,Which Canadian cities have you visited ?,A2
Venas ŝtormo.,There is a storm coming .,A2
Limestone oni ofte uzas cementon .,Limestone is often used in cement .,A2
Militos.,There will be war .,A2
La fenestroj estis ŝlositaj.,The windows were locked .,A2
Li subite koleriĝis.,He suddenly got angry .,A2
Ŝi metis sian sakon sur la plankon .,She placed her bag on the floor .,A2
La aviadilo estis malgranda kiel aŭto.,The plane was as small as a car .,A2
La polico sekvis lin.,He was followed by the police .,A2
La polico venis serĉi la ŝteliston.,The police came looking for the thief .,A2
Kiel belega sunsubiro!,What a gorgeous sunset !,A2
Estas multaj ŝafoj en Irlando.,There are a lot of sheep in Ireland .,A2
Ĉu vi iam estis en aviadilo?,Have you ever been on a plane ?,A2
Ĉu vi iam iris dormi en trajno?,Have you ever gone to sleep on a train ?,A2
Kiu estas via plej ŝatata ilustranto?,Who is your favorite illustrator ?,A2
Mi ŝategas tiujn ĉi ilustrajn vendistojn!,I love this illustrator !,A2
"Jen la ĉambro, kie ĉio komenciĝis.",This is the room where it all began .,A2
"Mi deziras, ke mi povu diri tion al ili ĝis revido.",I wish I could tell them good-bye .,A2
"Mi deziras, ke mi povu diri al ili, ke mi pardonas ilin.",I wish I could tell them that I forgive them .,A2
La alarmilo telefonos post sekundo.,The alarm will ring in a second .,A2
"Diru al li, kiam li foriros.",Tell him when to leave .,A2
La lernejo permesis al li plenumi.,The school allowed him to perform .,A2
"Ĉu tiu estas la domo, kie ni renkontiĝis?",Is that the house where we met ?,A2
"Mi deziras, ke mi povintus fini ĝin.",I wish I could have finished it .,A2
Bluketoj estas famaj en tiu areo.,Blue crabs are famous in this area .,A2
Pluvas ekde mardo.,It has been raining since Tuesday .,A2
Estis bataloj.,There have been fights .,A2
Ĉu vi vidis ŝin?,Have you seen hers ?,A2
Ĉu vi vidis mian fratinon?,Have you seen my sister ?,A2
"Mi tute ne povis kredi, kion li diris.",I could n't believe what he said .,A2
"Mi deziras, ke mi estu pli saĝa.",I wish I were smarter .,A2
Ĉu vi permesos al ni iri?,Will you allow us to go ?,A2
"Li lernis, kiam ekdancis .",He learned when to start dancing .,A2
Ni lernis danci .,We learned to dance .,A2
Komencis pluvi dum nia pikniko.,It started raining during our picnic .,A2
Tokio estas unu el la plej ekscitaj urboj de la mondo.,Tokyo is one of the most exciting cities in the world .,A2
Li iris tra la pordo.,He walked through the door .,A2
"Al mi mankas la maniero, kiel mia patrino ridis.",I miss the way my mother laughed .,A2
Mia patrino mankas al mi.,I miss my mom .,A2
Ŝi devas iri hejmen baldaŭ.,She must go home soon .,A2
Ŝi havis varmajn brunajn okulojn .,She had warm brown eyes .,A2
Li estis respektata viro en sia komunumo.,He was a respected man in his community .,A2
Ŝi streĉis sian kolon.,She strained her neck .,A2
Ŝi ricevis ringon de sia koramiko .,She received a ring from her boyfriend .,A2
"Mi diris al ŝi, ke ŝi baldaŭ vizitu ŝin.",I told her to visit again soon .,A2
Li ne povis ĉesi rigardi ŝin.,He could n't stop looking at her .,A2
"Mi deziras esti tie, kiam ŝi alvenos, sed mi havas alian rendevuon.","I wish I could be there when she arrives , but I have another appointment .",A2
Ŝi jam alvenis.,She has already arrived .,A2
Ŝiaj okuloj aspektis kiel inhiacintoj.,Her eyes looked like emeralds .,A2
Ŝia robo estis side verda.,Her dress was emerald green .,A2
"Mi deziras, ke mi povu enlitiĝi anstataŭ fari ĉiujn ĉi hejmtaskojn.",I wish I could go to bed instead of doing all this homework .,A2
Li donis al la knaboj iom da mono por aĉeti florojn por sia patrino.,He gave the boys some money to buy their mother some flowers .,A2
Ŝi ricevis kion ŝi deziris.,She got what she wanted .,A2
Ĉu vi forgesis la vian?,Did you forget yours ?,A2
Li gajnis premion pro la plej bona aktoro.,He won an award for best actor .,A2
"Estis granda rolo, kiu famigis lin.",It was a great role that made him famous .,A2
"Mirinde, kia bela ŝtofo.","Wow , what a beautiful fabric .",A2
Bilousoj estas pli ina ol ĉemizo.,Blouses are more feminine than shirts .,A2
Ĉiuj aplaŭdis siajn manojn post la prezento.,Everyone clapped their hands after the performance .,A2
Ĉu vi jam komencis lecionojn?,Have you started classes yet ?,A2
"Se vi estus mi, kion vi elektus?","If you were me , what would you choose ?",A2
La hundoj komencis batali.,The dogs started to fight .,A2
Tie estis ruĝa aŭto parkita.,There was a red car parked there .,A2
Estis du tigroj en la zoo .,There were two tigers at the zoo .,A2
Mi ĵus komencis mian novan laboron.,I have just started my new job .,A2
Ĉu vi jam komencis vian novan laboron?,Have you started your new job yet ?,A2
"Tio estis la loko, kie estis la arbo.",That was the spot where the tree was .,A2
Miaj gepatroj mortis antaŭ multaj jaroj.,My parents died many years ago .,A2
Mia bopatrino mortis antaŭ tri jaroj.,My mother - in- law died three years ago .,A2
Ŝia avo amis sian bifstekon malofta.,Her grandfather loved his steak rare .,A2
Li ŝatis sian bovaĵon rara.,He liked his beef medium rare .,A2
Ŝi aliĝis al Usono. Smard teamo .,She joined the U.S. Sailing Team .,A2
Mi neniam estis ekster Japanujo.,I 've never been outside of Japan .,A2
Mi loĝas en Japanio same bone kiel en Kanado.,I have lived in Japan as well as in Canada .,A2
"Ŝi havis belan, longajn harojn.","She had beautiful , long hair .",A2
Manĝante pli da legomoj helpos vin senti pli bone.,Eating more vegetables will help you to feel better .,A2
Ili ambaŭ finis sian hejmtaskon.,Both of them finished their homework .,A2
"Emily finis sian hejmtaskon, antaŭ ol ŝi tro laciĝis.",Emily finished her homework before she got too tired .,A2
La bestoj komencis kuri .,The animals began to run .,A2
"Mi deziras, ke ni estu kune denove por unu lasta tagmanĝo.",I wish we were all together again for one last dinner .,A2
"Mi deziras, ke ni povu reiri.",I wish we could go again .,A2
Lasu min preni vian mantelon.,Let me get you your coat .,A2
Ili ne povis trovi iun ajn.,They could n't find anyone .,A2
Li decidis aĉeti florojn por sia edzino dum li estis for.,He decided to buy flowers for his wife while he was out .,A2
Neniu el ili trinkas.,None of them drink .,A2
"Vi rajtas iri al la koncerto, se vi pagos ĝin.",You may go to the concert if you pay for it .,A2
Mi petis lin foriri.,I asked him to leave .,A2
"Se mi vivus ĉi tie, mi tiel feliĉus!","If I lived here , I 'd be so happy !",A2
"Mi estus tiel feliĉa, se ŝi vivus ĉi tie .",I 'd be so happy if she lived here .,A2
Ili kutime frue enlitiĝas.,They usually go to sleep early .,A2
Li farbis sian ĉambron blua.,He painted his room blue .,A2
Oni farbis ĝin blua.,It was painted blue .,A2
Antaŭ kiom da tempo tio okazis?,How long ago did it happen ?,A2
Tio okazis antaŭ longa tempo.,It happened a long time ago .,A2
Ŝi ĉiam surhavis botojn per kalkanumoj.,She always wore boots with heels .,A2
Ŝi ofte dividis siajn botojn kun sia fratino.,She often shared her boots with her sister .,A2
La boato daŭris jaron por vojaĝi tra la tuta mondo.,It took the boat a year to travel across the whole world .,A2
"Mi farintus ĝin alie, se mi scius ĝin.",I would have done it differently if I had known .,A2
"Ĉu vi diris al ŝi, kie ŝi renkontu nin?",Did you tell her where to meet us ?,A2
Ĉu via edzino venis kun vi?,Did your wife come with you ?,A2
La trajno haltis antaŭ ol mi alvenis en mia stacio.,The train stopped before I arrived at my station .,A2
